name, duty
J0421-0345,0.01171875
J0426+4933,0.01953125
J0435+2749,0.04296875
J0453+1559,0.01171875
J0454+4529,0.03515625
J0457+23,0.07421875
J0458-0505,0.015625
J0459-0210,0.0078125
J0509+0856,0.2626953125
J0509+3801,0.0615234375
J0517+2212,0.08984375
J0518+5125,0.05078125
J0518+5416,0.02734375
J0533+0402,0.015625
J0538+2817,0.0703125
J0540+3207,0.01953125
J0546+2441,0.01171875
J0555+3948,0.02734375
J0557+1551,0.064453125
J0605+3757,0.201171875
J0608+00,0.0234375
J0609+16,0.0390625
J0609+2130,0.03125
J0611+1436,0.0546875
J0611+30,0.0390625
J0613+3731,0.03125
J0613-0200,0.0322265625
J0614+83,0.0078125
J0621+0336,0.01171875
J0621+1002,0.0546875
J0625+10,0.02734375
J0627+0649,0.03125
J0627+0706,0.01171875
J0630-0046,0.015625
J0631+1036,0.07421875
J0636+5129,0.0419921875
J0645+5158,0.0107421875
J0645+80,0.05078125
J0646+0905,0.06640625
J0647+0913,0.015625
J0652-0142,0.02734375
J0709+0458,0.03515625
J0711+0931,0.03515625
J0725-1635,0.015625
J0729-1448,0.0390625
J0732+2314,0.44140625
J0738+6904,0.005859375
J0740+6620,0.1181640625
J0742+4110,0.298828125
J0747+6646,0.01171875
J0749+5720,0.009765625
J0751+1807,0.12109375
J0806+08,0.0390625
J0815+0939,0.10546875
J0815+4611,0.03125
J0824+0028,0.0458984375
J0843+0719,0.015625
J0854+54,0.0126953125
J0857+3349,0.03515625
J0927+2345,0.0234375
J0928+06,0.046875
J0928+30,0.03125
J0943+2253,0.01953125
J0944+4106,0.0078125
J0947+2740,0.04296875
J1000+08,0.03125
J1012+5307,0.1416015625
J1017+3011,0.06640625
J1022+1001,0.0576171875
J1024-0719,0.1953125
J1046+0304,0.07421875
J1059+6459,0.01171875
J1110+58,0.015625
J1125+7819,0.10546875
J1134+25,0.01171875
J1137+7528,0.029296875
J1216+31,0.01171875
J1221-0633,0.05078125
J1226+0005,0.0234375
J1236-0159,0.0234375
J1238+2152,0.01171875
J1239+32,0.3291015625
J1242+39,0.0390625
J1246+2253,0.015625
J1313+0931,0.015625
J1320+67,0.0439453125
J1327+3423,0.0244140625
J1327-0755,0.015625
J1403-0314,0.07421875
J1404+1159,0.015625
J1411+2551,0.0390625
J1434+7257,0.046875
J1439+76,0.0078125
J1453+1902,0.08056640625
J1501-0046,0.0234375
J1503+2111,0.01171875
J1518+4904,0.0185546875
J1518-0627,0.05859375
J1529+40,0.06640625
J1538+2345,0.01171875
J1544+4937,0.05859375
J1549+2113,0.01171875
J1555-0515,0.0078125
J1612+2008,0.01171875
J1624+5850,0.0234375
J1624+8643,0.01171875
J1627+1419,0.0546875
J1629+33,0.0185546875
J1629+43,0.0234375
J1630+3734,0.076171875
J1635+2332,0.0234375
J1640+2224,0.0302734375
J1641+8049,0.0400390625
J1643+1338,0.0234375
J1643-1224,0.13671875
J1645+1012,0.02734375
J1647+66,0.0390625
J1649+2533,0.0234375
J1652+2651,0.03515625
J1656+00,0.046875
J1657+3304,0.02734375
J1658+3630,0.0615234375
J1709+2313,0.10546875
J1710+49,0.11328125
J1713+0747,0.0712890625
J1713+7810,0.03125
J1715+46,0.03515625
J1720+2150,0.01171875
J1720-05,0.0322265625
J1722+35,0.03125
J1725-0732,0.05078125
J1733-01,0.033203125
J1735+6320,0.015625
J1735-0243,0.171875
J1736+05,0.01171875
J1738+0333,0.05322265625
J1741+1351,0.0283203125
J1741+2758,0.015625
J1742-0203,0.0400390625
J1744-1134,0.0390625
J1744-1610,0.01953125
J1745-0129,0.01171875
J1746+2540,0.01953125
J1748+59,0.0390625
J1750+07,0.01953125
J1752+2359,0.0078125
J1755-0903,0.03515625
J1756+1822,0.03125
J1758+3030,0.0234375
J1759+5036,0.025390625
J1800+5034,0.0234375
J1800-0125,0.05078125
J1802+0128,0.0234375
J1805-0619,0.03515625
J1806+1023,0.00390625
J1806+2819,0.138671875
J1807+04,0.03515625
J1809-0119,0.02734375
J1810+0705,0.046875
J1811+0702,0.03515625
J1813+1822,0.0234375
J1814+22,0.01953125
J1814-0521,0.03125
J1815+5546,0.02734375
J1816+4510,0.064453125
J1816-0755,0.0703125
J1820-0509,0.06640625
J1821+0155,0.0078125
J1821+1715,0.03125
J1821+4147,0.0185546875
J1821-0331,0.0234375
J1822+02,0.04296875
J1822+0705,0.01171875
J1823-0154,0.01171875
J1824-0132,0.01953125
J1828+1359,0.0234375
J1829+2456,0.052734375
J1829+25,0.0068359375
J1832-0836,0.0830078125
J1834+10,0.015625
J1834-0031,0.0234375
J1834-1710,0.08203125
J1835-0946,0.01953125
J1836+51,0.03515625
J1837+1221,0.0078125
J1837-0045,0.01953125
J1838+1650,0.0234375
J1838-1046,0.0390625
J1840-0815,0.03125
J1842+0257,0.0234375
