PSR S/N sigma(S/N) integration_time normalised_snr RA Dec
J0137+1654 13.264252151099999 4.964434757019999 569.5543980580001 13.614158091154087 1 16
J1903-0848 15.897045135499999 0.0 841.9889999999999 13.419576907265998 19 8
J0348+0432 13.969294726400001 5.06170182873 651.1403320000001 13.409506870777447 3 4
J1857-1027 15.490062551300001 5.71027346698 801.4138297869999 13.402949472953987 18 10
J0405+3347 16.9104681375 3.66043681373 998.555792453 13.108261239542507 4 33
B1854+00 13.526288986199999 1.71869875065 638.9913333330001 13.107105740091267 18 0
J1946+2535 15.8443844541 4.00289774534 881.6962800000001 13.070478670341437 19 25
J1908+2351 15.643242835999999 1.7532510757 881.48 12.906134322263265 19 23
J1903+2225 15.6768035889 0.0 898.9839999999999 12.807287573869312 19 22
B2025+21 8.53733597278 2.88018137265 273.591 12.642911400653206 20 21
B1309-12 14.632394078199999 6.794618335240001 844.5003095239999 12.333635449462415 13 12
J2243+1518 11.570030685899999 4.0834265177099995 534.61177931 12.257188758977781 22 15
J0631+1036 11.0363260443 3.25031845222 486.77052702699996 12.252875201129381 6 10
B1717-16 14.537339125099999 6.78428707904 856.73519403 12.165703928972517 17 16
J1918-0642 14.3957283178 3.40284671986 844.457691244 12.13445622462171 19 6
B1834-06 10.0769653321 1.54417468081 418.9775 12.058965123989074 18 6
B0841+80 13.5022616997 21.798070653000003 772.802201005 11.897287903081905 8 80
J1802+0128 13.5409980381 3.09385205816 792.258823529 11.784000655851175 18 1
J2352+65 21.6824440173 6.40189557561 2093.66656716 11.607270350318885 23 65
J1853+1303 13.690150971400001 27.521743891999996 863.761257576 11.41003567511376 18 13
J1843+2024 13.393882496 7.358783331000001 841.6964285710001 11.30848347025373 18 20
J1821+0155 13.2469368469 2.46506334255 829.3315909089999 11.267484949646116 18 1
J2030+55 12.529723227 3.2382379876200003 748.0559375 11.221478089825412 20 55
J1745-0129 12.9271086349 3.9436794801999997 798.051705882 11.208861644938269 17 1
J2234+0944 13.311918827000001 7.40933832511 853.118929577 11.163785841322357 22 9
J1835-0928 5.8057284355 0.0 163.965 11.105976910768549 18 9
J0927+2345 13.6316753493 7.23192922742 915.9359722219999 11.032966557254868 9 23
J1752+2359 13.106733746 5.8393490141 853.652222222 10.988277400736116 17 23
J2010+3230 10.0609721184 3.0550034451999997 504.972 10.96685046360463 20 32
J1841-0310 11.8513671875 2.7308609398900003 713.5768 10.867351598373668 18 3
J0034-0534 11.553657746099999 6.56061098156 682.906025271 10.829655740407784 0 5
J0332+79 6.995011280139999 3.28573400805 255.158491803 10.726524551557123 3 79
J0355+28 13.2570624351 2.2693183846 945.695352941 10.559595915257457 3 28
B1906+09 12.2754369426 2.92211855772 829.355243243 10.44100461193658 19 9
J1925+19 12.221626428099999 4.05247325125 825.625140351 10.418691425245898 19 19
J2151+2315 12.766667168900002 5.392272340619999 920.302811881 10.308317512501437 21 23
J2322+2057 12.634319228699999 6.872655680119999 918.780622378 10.20990162500458 23 20
J2207+40 7.90138958503 2.5251452542 361.21898550699996 10.183423764445156 22 40
B1911+11 12.3692518075 1.77195876243 912.3166666669999 10.031046682668235 19 11
J2013-0649 10.0902843783 4.17271227115 608.6660322580001 10.01819541017408 20 6
J0630-0046 11.8260659859 3.6336443898 847.977934426 9.947722170330424 6 0
J1846-07492 11.314643061199998 1.9331396125799998 778.503875 9.933129417322148 18 7
J1950+05 10.962102681400001 2.46019767372 773.754953125 9.653121441653598 19 5
B1607-13 11.310305830499999 2.8529777971200003 853.990098592 9.480332204325249 16 13
B1933+17 11.305935571300001 2.09446231302 871.948391892 9.378572518817874 19 17
J0729-1448 9.86299858506 3.42339396833 680.743173228 9.259615401902682 7 14
J1847-0605 5.9860095978 0.0 250.99 9.25517904466788 18 6
J0652-0142 9.80927942292 4.8196113794699995 679.0286689659999 9.22080155798872 6 1
J1834+10 10.5256955261 3.2540464752900005 783.0753478260001 9.213500257317513 18 10
B1639+36A 11.9842103698 5.5884931600800005 1025.33935404 9.167506697250179 16 36
J2105+6223 15.9732185692 4.17039515966 1839.52168908 9.122536362800743 21 62
J1949+3106 10.870282649000002 2.3858044940200003 853.534053498 9.11393727935314 19 31
B1709-15 10.883477705 2.4993695798099997 858.132136 9.10052053757988 17 15
B1732-02 10.5314101541 2.86443761199 813.034469697 9.04706421684977 17 2
J2310+6706 17.1063146061 3.16884344342 2146.32916667 9.04448653469496 23 67
J1840-0840 10.0580922127 2.14833642759 756.179 8.95940011317415 18 8
B1838-04 10.5131998062 0.3605146408 829.4810000000001 8.94143702796071 18 4
J1501-0046 10.4339697601 3.27953695342 820.903941799 8.920291125293792 15 0
J1921-05 10.514801635700001 1.82178277727 835.14904 8.912400946896446 19 5
J1848+0647 10.2047095128 7.18857067454 787.2126785710001 8.909026110394576 18 6
J1911+00 10.0095859369 1.14604768085 761.1385 8.887096433726615 19 0
J1327-0755 10.4748215675 5.2151472311400005 842.2263435110001 8.841131461335152 13 7
J1911+1347 10.4346018599 2.60256193273 857.5294921469999 8.728245947761371 19 13
J2043+1711 10.4528806011 4.180664988319999 882.6844895830001 8.618047177573562 20 17
J0102+4839 12.238336323299999 3.7045489371599998 1256.54023256 8.456873022027061 1 48
J1439+76 20.8359489441 0.0 3701.19 8.389155021611565 14 76
J1738+0333 9.80516734883 4.243169104630001 823.392236264 8.370034569046732 17 3
J1848+0826 9.56420667388 2.0665312617700002 792.518145455 8.32185166161967 18 8
J1935+1726 5.507919470469999 0.947173461928 264.323333333 8.298420846862632 19 17
J1411+2551 10.266062786200001 7.449979761769999 924.989166667 8.268204660153536 14 25
J1837-0045 9.70258585613 0.934543008518 832.988333333 8.23462184788039 18 0
B1740-03 9.56061403666 5.97609728275 819.562482143 8.180321578633388 17 3
J1709+2313 9.88421709224 3.2317139150800003 892.607674419 8.103779068209926 17 23
B1648-17 9.65496256829 4.692336994180001 864.9091400000001 8.04157239896688 16 17
B1740-13 9.54982538656 1.9404356806299998 848.794818182 8.029152306742366 17 13
J0108-1431 8.010910978550001 4.40827319163 616.506965854 7.902937308656893 1 14
J2229+64 13.025904213399999 3.12461271948 1645.73041667 7.8650983463894955 22 64
J1902+0723 8.87112140657 1.97868345912 800.6443333330001 7.679524512089071 19 7
J1920+1040 9.316600210539999 2.1315784784900003 910.6779411760001 7.562243831446074 19 10
J1910+1256 8.99224046846 1.9744108785299999 856.3765678389999 7.52681340259991 19 12
J0329+1654 8.29801209177 2.41773103425 734.2254052039999 7.501273230446483 3 16
J2311+67 9.40008574724 2.5223093235900005 947.5075 7.480249990688626 23 67
J1834-0031 8.75796524683 2.10883090084 831.656666667 7.43886720691646 18 0
J1849-0317 7.671263376869999 2.97561633093 639.318 7.431629546306699 18 3
J1816-0755 8.764799117999999 0.0 838.9810000000001 7.412104424993851 18 7
J1849+0409 8.128727316880001 4.58238685894 728.7415 7.37583901447912 18 4
J1947+0915 6.1350188254999996 0.0 422.99 7.30678746033311 19 9
B0727-18 8.805493210669999 2.72123615103 872.325418079 7.302810782513662 7 18
J1856-0526 7.70730161667 2.3167237467299997 695.642666667 7.1578876020022255 18 5
J1110+58 11.6281967674 2.7182579390099995 1618.27285714 7.0804705761708915 11 58
J1909+0616 5.919091224650001 1.52519989015 419.96 7.075004085940234 19 6
J0843+0719 7.512212388189999 2.7529169563200004 680.235708487 7.055272136916464 8 7
J1901+0254 8.13633966445 0.28044748305 804.9745 7.024471168411866 19 2
J1909+1450 7.99154625995 1.16030578973 786.366666667 6.980618357286275 19 14
J1901+1306 8.0149698257 0.0 796.99 6.954262515104238 19 13
J1837+0053 8.14373624325 1.56398724417 826.49125 6.938733291778127 18 0
J1822+02 8.0576478227 2.9105163966600003 830.807333333 6.8475268872399 18 2
J1925-16 5.3170473098699995 1.3661599049000002 366.088 6.806963205850942 19 16
J0458-0505 8.01791587629 2.23255014526 840.562710526 6.774107131654379 4 5
J0709+0458 7.999152971060001 1.8810191405400003 843.585658537 6.746135085625944 7 4
J1934+19 5.762265205399999 0.0 442.0 6.713635105608784 19 19
J1849-0614 7.8666469256 0.750961327282 825.656333333 6.706032059216728 18 6
J1907+0731 4.3136063814 1.2641323805 251.49 6.662784668852229 19 7
J2234+0611 7.84780229972 4.328146386509999 839.7077832169999 6.6337574704754605 22 6
J1845-0743 7.543193340299999 0.0 779.992 6.615852137827346 18 7
J1944-10 4.28894209862 0.598350737927 254.79 6.581647506009348 19 10
J1921+16 4.26517214778 0.491415281218 261.98 6.454730598815597 19 16
J1838-1046 7.14234638217 1.5349357923299998 750.47425 6.386289998821674 18 10
J1928+28 7.96715007467 3.78406719335 949.489256098 6.333351553953588 19 28
J1842+0358 5.2675862312 0.0 417.98 6.3111649069785365 18 3
J1453+1902 7.601609870549999 5.85365917789 872.74 6.302875977515994 14 19
J1853-0649 7.41509962085 0.25950574875 838.998 6.270644101084875 18 6
J0104+64 11.0636396749 2.10465685093 1947.66821429 6.140675668600895 1 64
J1843-0510 3.8963965575 0.631373256628 250.96 6.024715221227208 18 5
J2001+42 7.9079817735899995 2.37831628505 1044.72245283 5.992952294466179 20 42
J0614+83 20.7170516332 4.4793292813 7289.98044444 5.943474338997392 6 83
J1759+5036 8.74915747869 7.305501905610001 1303.98984762 5.934781766262892 17 50
J2325-0530 6.48611436795 2.72522018566 744.916627737 5.8211178681573355 23 5
J1024-0719 6.930080445689999 5.01439754874 853.007927807 5.812157406320363 10 7
J1915+1144 3.7785186768 0.0091342926 255.96 5.785103692467255 19 11
J1842+0638 6.5734759465499994 3.33924009771 779.267413043 5.768029136952031 18 6
J0337+1715 6.103266452100001 13.898060164 677.304274809 5.744418171523684 3 17
J1834-1710 6.895471334500001 0.68836236 871.9685 5.719909855265655 18 17
J1855+0700 3.68712985515 0.5868707895499999 250.48 5.706601299552961 18 7
J1848-0023 6.113619009630001 0.893163953395 692.654 5.6900465931600115 18 0
J1933+0758 4.7335891724 0.0 421.99 5.644365235432906 19 7
J1744-1610 6.786278963099999 1.183800059 874.987 5.619614612093426 17 16
J1845-1351 4.75365887371 1.0007792279899999 430.68714285699997 5.610772824346725 18 13
J2032+4127 7.660629378410001 1.4987107204899999 1213.32555556 5.38705493542724 20 41
B1904+12 6.17478329972 2.9706072946399997 815.864275862 5.295273393337599 19 12
J2010-1323 6.3414391854900005 1.7717962645599996 867.400512195 5.274163877768713 20 13
J1836+51 7.87690377235 1.16930199742 1349.99166667 5.251285389256149 18 51
J1820-0509 6.3114198208 4.732583827809999 897.291 5.161025902205044 18 5
J1943+2210 3.48645677566 0.370621808942 274.96 5.150212527544318 19 22
J1901-04 6.05400284131 1.56950004584 833.018148148 5.13796349277284 19 4
J1840-04 3.3097023963999996 0.25580501559999996 250.96 5.117552618442185 18 4
J1907+0345 5.13245606425 0.50629782675 626.4595 5.0228980779114245 19 3
J2017+0603 5.97692298783 2.15734691341 849.830392857 5.0221208106810495 20 6
J1900+0634 5.0984835625 0.8257918357999999 628.9680000000001 4.979690756082845 19 6
J1852+0008 5.85784848533 0.622958898156 832.294333333 4.973650805533234 18 0
J1913+1102 4.1707663536 0.0 425.97 4.949963306615839 19 11
J1849+0127 5.6862564087 0.2401652336 830.482 4.833224324718909 18 1
J1901+0621 5.6670641899000005 0.0 836.9889999999999 4.798150674740363 19 6
J1848+0351 3.9454908371 0.0 417.97 4.727201434046637 18 3
J1221-0633 5.472181551269999 1.8508795871000001 836.7734923080001 4.633745377586178 12 6
J1913+0904 3.79472229355 0.700720084381 404.68526315800005 4.6205846299058315 19 9
J1907-1532 5.516638755800001 0.14087836993 857.995 4.613258523548257 19 15
J0645+80 4.973741884690001 1.33924001391 708.334156627 4.577620406668833 6 80
J0725-1635 4.87622890203 1.2721132447399999 682.226656604 4.572938567810855 7 16
J0627+16 5.61028984908 3.15875024345 913.883672414 4.545853810892559 6 16
J1902-0340 5.3408308029 0.0 831.9580000000001 4.535589527500712 19 3
J1906+0509 5.2932667732 0.1531653404 833.966 4.489781798137836 19 5
J1902+0248 5.1954270601 1.8354986906 804.47 4.486854130117069 19 2
J1906+0414 3.7269730568 0.0 414.97 4.4815013123665155 19 4
J1918+1310 3.7404499721599995 0.9874939221469999 429.7232 4.419825010711615 19 13
J1906+0912 3.69297719 0.0 422.97 4.398427803287648 19 9
J1733-01 5.14543679783 1.23144729614 832.0224285710001 4.369486042987158 17 1
J1819-1318 5.062219202530001 1.5710356116600002 805.365 4.369383820241649 18 13
J1914+08 4.13726979495 1.16157755722 547.71525 4.330240834846256 19 8
J1629+33 5.48528416952 1.5211223078600002 996.8942063489999 4.255496333323993 16 33
J1920-09 3.47365384633 0.544126189229 404.63888888900004 4.229882989950144 19 9
J0103+54 6.5061744066 2.99750620839 1441.82743494 4.197055224343422 1 54
J1952+2630 3.6550373179699998 0.7427152840219999 459.10785714300005 4.178400627024451 19 26
J1852-0118 4.2428992987 0.3960620165 622.474 4.165601695261583 18 1
J2004+3429 3.85281078956 0.877543246675 518.210588235 4.14572189734812 20 34
J1835-0946 4.9206424355500005 0.9131230126540001 845.71075 4.1446370726289405 18 9
J1858-0736 4.41746060053 1.22460033536 699.315 4.091776351665387 18 7
J1953+1846A 3.5163303102599994 0.545171835621 443.465 4.090115901582321 19 18
J1910-0112 4.6979432106 0.0913834572 801.465 4.064818019267971 19 1
J1907+0255 4.12653183935 0.67737698555 621.9715 4.0529904751792 19 2
J1840-1207 4.57192993166 0.424857305291 767.9796 4.04110699354184 18 12
J1839-0627 4.74195885658 0.6720015270309999 837.9896 4.012491194257741 18 6
B1828-11 4.9391245842 0.0 911.97 4.0062249383534745 18 11
J1843-1113 4.93059240978 0.985875796106 912.648 3.9978185132221857 18 11
J1840-1122 4.74576743443 0.7001745590549999 847.972666667 3.9920056776249275 18 11
J1848-1150 4.3267144362 1.43192816079 709.977 3.977514009086406 18 11
J1858-11 4.73232328891 1.4942157837 850.056416667 3.9758148912896667 18 11
J1829+2456 4.88317654134 1.4634975615399999 917.7428 3.9483674029905247 18 24
J1926+1613 3.3473424911 0.0 436.99 3.9222929405887488 19 16
J1836-11 4.6597733498 0.0 850.9630000000001 3.912776845112583 18 11
J1832-0836 4.6975188041000004 1.1778046902700001 865.993370787 3.9100910342016526 18 8
J1843-1507 4.664513588 0.0 859.987 3.8961533724954074 18 15
J1904-0150 4.4710481167000005 0.559555769 802.9789999999999 3.8648520656280745 19 1
J1742-0203 4.5475283615199995 0.984749239338 831.532015873 3.862882996209782 17 2
J0621+2514 4.771175963309999 1.24103689411 929.507915825 3.833315036646148 6 25
J2024+48 3.93288159829 0.9882236327130001 634.2459615380001 3.825230780943767 20 48
J1838-1849 4.54578852655 0.14940285685000002 879.9625 3.7536413177491594 18 18
J1834-1855 4.5480378866199995 1.26093887605 881.227 3.752803297111636 18 18
J1911+0101B 4.1289473772 0.300457521974 727.9730000000001 3.748498463068374 19 1
J1848-1243 4.05384858447 0.48719840590700003 709.6419999999999 3.7275501309705725 18 12
J1903-0258 4.26870405675 1.09784543515 803.9755 3.6876548394887427 19 2
J1842-0415 4.35118371252 0.420274569649 836.7189999999999 3.6846244521168225 18 4
J1857+0809 3.9166762828699992 0.282244562293 699.632666667 3.6270894310459276 18 8
J0534-13 4.294280882240001 1.21017082597 854.8761481480001 3.5976132389667193 5 13
J1901-1740 4.21574433643 0.39395809618699995 834.992 3.5736229879887307 19 17
J0125+62 6.202875261719999 1.83834019396 1812.59086957 3.568771803073289 1 62
J0054+66 6.90918409161 4.13303824871 2266.93111111 3.554538546567023 0 66
J1909+0641 4.05799326901 0.68318896293 786.7885 3.543708136863006 19 6
J1834-0731 4.04146769641 0.156086672956 787.111375 3.5285529805578078 18 7
J1834-1202 4.198309103630001 1.43293339421 853.635666667 3.5197657390687085 18 12
J1317-0157 4.11547728685 0.819626345315 831.36 3.4962402788296862 13 1
J1845-0545 3.9411458969 0.0 778.9730000000001 3.4588914677251674 18 5
J2203+50 3.65230093065 0.5879317803140001 669.011948052 3.4587983421095867 22 50
J1905+0154A 3.98763442035 0.68373560905 804.4645 3.4437968088989352 19 1
J1900-09 3.70651809373 0.873163104998 696.9839999999999 3.4389855060055226 19 9
J1843-0408 3.9050364494 4.4408920985e-16 776.96 3.4316373554934256 18 4
J1841-1404 3.85214593016 0.907233520273 783.146083333 3.371762421544601 18 14
J1045-0436 3.95477218695 1.06011098871 831.4556478869999 3.3595224880651218 10 4
J1839-0459 3.95973396301 0.325108789975 834.970857143 3.3566493469456153 18 4
J1904+0738 3.86911201475 0.25954198835000003 810.972 3.328005217270927 19 7
J1839-0905 3.4950494766300007 0.5273015054110001 664.97525 3.3199092513962047 18 9
J1901+0124 3.49147852263 1.14627298418 672.974333333 3.296747986492548 19 1
J1304+12 3.91200567114 1.34191013114 849.9562586210001 3.286826749814264 13 12
J2018-0414 3.8604418885400005 1.10196534844 833.0906129030001 3.2761707162023437 20 4
J1856+0404 3.4518098831 0.506083972975 691.651333333 3.2149845026587345 18 4
J1900+0227 3.6977663834699994 0.673281205205 794.316333333 3.2137963166594568 19 2
J1831-04 3.7663263321 0.923375216901 832.714753846 3.1970206546232935 18 4
J1835-0944 3.7747960091 0.0 842.982 3.1846371847338424 18 9
J1843-0744 3.0185185670999997 0.2648259401 539.466 3.183372333933532 18 7
J1852+0305 3.7469545603 0.10897338390000001 832.9725 3.1800849369970536 18 3
J1907+0249 3.70643544198 0.765978496327 818.22825 3.1739116275379606 19 2
J1840+0214 3.7122526169 0.299293948096 830.965 3.154436442166645 18 2
J1902-10 3.6099102497000004 0.0 789.97 3.146058039203469 19 10
J1719-1438 3.72238921954 0.725589917993 845.775124138 3.135233949270236 17 14
J1833-0559 3.5717718600999997 0.0 779.9730000000001 3.1327053734058015 18 5
J1911+09 3.37881207467 0.22259136739 702.641333333 3.1222869637942616 19 9
J1839+15 3.73724526167 0.646433301022 861.23925 3.119358701780814 18 15
J1839-0141 3.6633529662999997 0.2863841057 830.9815 3.1128537206490257 18 1
J1018-1523 3.71760712301 0.704495961904 862.3741470589999 3.100924930032835 10 15
J1914+0659 3.4439924785100002 0.601961659119 745.5464285710001 3.0895873085366787 19 6
J0931-1902 3.74733783959 1.00698282665 884.99473741 3.0855183217017954 9 19
J2042+0246 3.6289270070199997 0.650975740105 832.1306530610001 3.0814710916775674 20 2
J1841+0130 3.6150564551199995 0.462286764662 828.7330000000001 3.0759791882426177 18 1
J1843-1448 3.6776289939999995 0.24859094620000002 860.4835 3.070946612018195 18 14
J1904-16 3.5501173734500004 0.12005746365 836.9705 3.0058220190734417 19 16
J1853+0056 3.5097955465 0.210451839176 823.2230000000001 2.9963924625619756 18 0
J1907+0859 3.5441477299 0.0 841.9810000000001 2.9918257496340988 19 8
J1312+0051 3.5350637866100003 0.626797082663 840.174921053 2.9873631729004284 13 0
J1903+0327 3.5167372413699995 0.635106714019 840.108318627 2.971993828071826 19 3
J1859+0601 3.2734839320200004 0.45533258278800004 729.9785 2.9677738525405646 18 6
J1837-1837 3.4570835317900004 0.497089069042 816.121857143 2.9642033511101005 18 18
J1913+0657 3.41352389075 0.799927812871 801.709545455 2.9530448618788423 19 6
J1839-0436 3.4692749977 0.0 833.9630000000001 2.9426659227521497 18 4
J2129-0429 3.4848651674699997 0.644752651703 846.733734177 2.933514055592632 21 4
J1023+0038 3.43365030566 0.639964174304 827.4623344710001 2.9238667142045056 10 0
J1907+0602 3.4470534325 0.0 837.99 2.9167836881989153 19 6
J1838-0107 3.3952058553500004 0.30830705165 831.4885 2.884121903957533 18 1
J1839-0402 3.3978918791000003 0.047730803499999995 835.4735 2.879511657409313 18 4
J1900+0308 3.33249700068 0.266929204418 803.97425 2.878885039149527 19 3
J1837-0559 3.3933603764 0.7361471653 835.9665 2.8748234085344837 18 5
J1844-0502 3.3912072182 0.0 835.97 2.872993258620725 18 5
J1929+62 3.6317823529300006 0.9349335171879999 966.24 2.8618899733361474 19 62
J0952-0607 3.3970855621499996 0.581779664845 848.462922374 2.856706852124114 9 6
J1901-0315 3.3673770428 0.0 833.967 2.85622843843702 19 3
J1913+0617 3.34115629198 0.48060392678400005 824.1856 2.850755070636154 19 6
J1953+67 3.9547432661 1.01044245661 1165.805 2.837141285800114 19 67
J1844+0115 3.2805328369200004 0.395122730031 830.7265 2.7879885263479074 18 1
J1913+1050 3.1405653953600003 0.369325297327 762.1722 2.7864863135929214 19 10
J1048+2339 3.4309175535 0.590569078493 916.5924894369999 2.775861285703154 10 23
J1843-0806 3.23837628364 0.425835871232 837.7798 2.7405516603903 18 8
J1901+0300 3.0825486182999997 0.0 775.97 2.7105853993363795 19 3
J1910+0517 3.18924593925 0.31917142865 834.9795 2.7034959910266925 19 5
J0605+3757 3.5050530315300006 0.693454506063 1068.79 2.6261772061611417 6 37
J1904+0412 3.0485618114 0.0 831.975 2.588901290708606 19 4
J1630+3757 3.39974525997 0.497176996866 1042.55714286 2.579123081206314 16 37
J1946+3417 3.4816924810400005 0.531870673888 1094.4628 2.577896829589279 19 34
J1901-0312 2.8910176754 0.1149156094 801.477 2.5013867218764396 19 3
J1853+03 2.9476428827 0.10930403315500001 834.6386666669999 2.4992013164846503 18 3
J2215+5135 3.7670398201199995 0.701343073576 1474.67485714 2.402855742549022 22 51
J1909+21 2.8511518955199997 0.417770162944 869.1866 2.368860406116614 19 21
J1909+1148 2.7275207837599997 0.26596851565900004 852.5355555560001 2.288165554277469 19 11
J1857+0143 2.6782841682 0.0 832.9760000000001 2.2730868788164735 18 1
J1552+5437 3.4503639658800007 0.614771753971 1436.22465753 2.2301257151362974 15 54
J2019+72 3.6277114794800003 0.6987643704950001 2778.82923077 1.685688931488724 20 72
B0809+74_lower 1552.44400939 1953.02901887 3112.21 681.6432274710222 20 74
B2255+58_lower 865.420351809 268.498763875 1680.52986577 517.1060415560888 10 58
B2319+60_lower 705.38814504 304.348137361 1576.39902737 435.1817783630185 11 60
B0138+59_lower 628.967190369 142.93427351 1675.92304348 376.33670690812073 13 59
B2148+63_lower 510.914827421 114.66377138799999 2047.6661039 276.56330801974826 9 63
J2302+6028_lower 387.96520208699997 90.47702977520001 1286.03273504 264.99787263585887 11 60
B2324+60_lower 456.041121231 127.954683933 1820.80482759 261.78691296513824 11 60
B0402+61_lower 326.626135367 61.0977488434 1751.24857143 191.18449161845925 16 61
J2319+6411_lower 253.428710389 50.8548558263 1496.83876106 160.45155427065959 11 64
B2224+65_lower 267.450939894 80.104933379 2257.42890625 137.88363138458328 10 65
B0655+64_lower 236.73678420599998 224.35259206400002 1909.97481283 132.68674765714417 18 64
B0154+61_lower 200.27545960700002 47.0865398397 1788.94833333 115.98570411667356 13 61
J0215+6218_lower 168.246124065 41.5092549844 1727.02401606 99.16798863150282 14 62
B0105+65_lower 175.49512048 73.5542429606 2070.43857143 94.47338924541107 13 65
B0059+65_lower 161.040064952 58.319765957799994 1997.81352941 88.25353036534506 12 65
B2323+63_lower 145.33359767 51.4249645196 2037.31479167 78.87013432463364 11 63
B2227+61_lower 142.018597515 38.2383536841 1984.76676923 78.08472852275673 10 61
J2206+6151_lower 77.0968112946 14.160850110899998 613.4384615380001 76.24766356985442 10 61
B2334+61_lower 114.749410773 52.3608582871 1460.30589041 73.55364017106331 11 61
B0917+63_lower 125.9225311 75.5781005082 1817.50984127 72.3503579738048 21 63
B0114+58_lower 107.68241601 19.7323503977 1599.13114286 65.95965502978164 13 58
J0248+6021_lower 63.5417019526 11.3163656619 567.559166667 65.332442837977 14 60
B0410+69_lower 124.67239372799999 57.9777280166 2415.11786164 62.140788305914285 16 69
J0738+6904_lower 110.298334863 68.5619446874 2336.72925926 55.89080733515925 19 69
B2241+69_lower 91.23821177629999 23.320006644499998 1655.28818182 54.930756832812726 10 69
B0144+59_lower 81.9799972591 43.5149908881 1599.65186441 50.2077531175941 13 59
J2229+6114_lower 67.49576246069999 13.129794334000001 1113.4288764 49.547402607864655 10 61
B0105+68_lower 88.20479177899998 28.4417724146 2329.31977778 44.76651093754619 13 68
B1322+83_lower 141.966857394 113.842698431 7027.84695971 41.481212865357925 1 83
J0054+6946_lower 79.3646276943 14.264430855399999 2413.90698413 39.56783999721785 12 69
B0226+70_lower 79.0061130407 26.325424891999997 2477.53164634 38.8800411327742 14 70
J2343+6221_lower 70.92888654069999 14.4765282083 2002.377 38.82628546827816 11 62
J1125+7819_lower 69.0065597183 73.3694347611 2176.6179602 36.230547540890775 23 78
B0643+80_lower 56.0510864258 0.0 1691.01 33.387705346637816 18 80
J2240+5832_lower 38.838153839099995 6.951957655299998 848.545151515 32.65853691697328 10 58
J0243+6027_lower 46.892754608400004 11.8980505824 1377.13460714 30.952317687808247 14 60
J0325+6744_lower 57.760512044799995 11.7552538159 2205.08346154 30.129653957464104 15 67
J1922+58_lower 43.5320299268 25.86778157 1370.29444444 28.805644443752236 7 58
J2333+6145_lower 42.5510397618 8.225837525700001 1364.86297297 28.21248076420277 11 61
J2017+59_lower 30.6422818229 13.685330741700001 912.6425 24.84542231532473 8 59
J2238+6021_lower 33.854731631599996 10.1963000576 1509.78497908 21.3421147449478 10 60
J1748+59_lower 34.5862893518 8.98028486465 1656.19773585 20.81725693090127 5 59
J0413+58_lower 33.6312823296 4.1821239436800015 1597.235 20.612688628431965 16 58
J0111+6624_lower 37.220852190100004 8.36752309392 2084.09612245 19.971149591074536 13 66
J0325+67_lower 38.2216964435 13.337816168900002 2287.04813559 19.577080721544977 15 67
J1434+7257_lower 42.100689953 22.4527587021 2809.58045455 19.455576397598158 2 72
J2043+7045_lower 33.7814888467 6.165643822969999 2393.1033125 16.915065642107532 8 70
J0201+7005_lower 35.2809580868 10.7153828578 2686.58779661 16.673066280381178 14 70
J1938+6604_lower 30.3386575312 5.6830702340100006 2027.40981159 16.504455947070063 7 66
J1647+66_lower 25.326651850799998 9.014098036739998 2047.66063291 13.709588366355984 4 66
B0841+80_lower 13.5022616997 21.798070653000003 772.802201005 11.897287903081903 20 80
J2352+65_lower 21.6824440173 6.40189557561 2093.66656716 11.607270350318885 11 65
J0332+79_lower 6.995011280139999 3.28573400805 255.158491803 10.726524551557123 15 79
J2105+6223_lower 15.9732185692 4.17039515966 1839.52168908 9.122536362800744 9 62
J2310+6706_lower 17.1063146061 3.16884344342 2146.32916667 9.044486534694961 11 67
J1439+76_lower 20.8359489441 0.0 3701.19 8.389155021611565 2 76
J2229+64_lower 13.025904213399999 3.12461271948 1645.73041667 7.865098346389495 10 64
J2311+67_lower 9.40008574724 2.5223093235900005 947.5075 7.480249990688626 11 67
J1110+58_lower 11.6281967674 2.7182579390099995 1618.27285714 7.080470576170892 23 58
J0104+64_lower 11.0636396749 2.10465685093 1947.66821429 6.1406756686008945 13 64
J0614+83_lower 20.7170516332 4.4793292813 7289.98044444 5.943474338997393 18 83
J0645+80_lower 4.973741884690001 1.33924001391 708.334156627 4.577620406668833 18 80
J0125+62_lower 6.202875261719999 1.83834019396 1812.59086957 3.5687718030732887 13 62
J0054+66_lower 6.90918409161 4.13303824871 2266.93111111 3.5545385465670227 12 66
J1929+62_lower 3.6317823529300006 0.934933517188 966.24 2.861889973336148 7 62
J1953+67_lower 3.9547432661 1.01044245661 1165.805 2.8371412858001137 7 67
J2019+72_lower 3.62771147948 0.6987643704950001 2778.82923077 1.685688931488724 8 72
