PSR S/N sigma(S/N) integration_time normalised_snr RA Dec
B2210+29 81.1720566886 16.880705188900002 295.896285714 115.58791192955977 22 29
B1540-06 133.197137264 84.2417506428 818.887581579 114.01405015458168 15 6
J1012+5307 173.28698872400003 121.166873415 1421.15298077 112.5955339898542 10 53
B2045-16 124.975802156 76.47368189630001 752.0016590910001 111.63288760398527 20 16
J1327+3423 140.797399553 135.330291889 1013.61613505 108.32619816050206 13 34
B1844-04 67.6926040649 0.0 250.97 104.66607567454116 18 4
B0011+47 149.126838716 64.3320609202 1232.87150602 104.03333694779104 0 47
J1652+2651 128.99400361 38.2158243914 924.384927374 103.92468569253226 16 26
B2113+14 106.58010103299999 29.5767599694 652.354549223 102.21388726841752 21 14
J0215+6218 168.246124065 41.5092549844 1727.02401606 99.16798863150282 2 62
B2028+22 63.9913231986 17.7557876619 274.876571429 94.54266781627905 20 22
B0105+65 175.49512048 73.5542429606 2070.43857143 94.47338924541108 1 65
J2227+30 93.06491570719999 31.3670131137 603.8902982459999 92.76466642960547 22 30
B0751+32 118.29624194899999 46.547209870100005 980.4875 92.53915779768874 7 32
B0059+65 161.040064952 58.319765957799994 1997.81352941 88.25353036534506 0 65
B0031-07 103.073682624 60.775037337 832.091362162 87.52616723987644 0 7
B1804-08 100.289854599 24.3803272626 833.6876744189999 85.08067690019166 18 8
J2253+1516 55.936953485 22.1306604625 260.803571429 84.84332254828529 22 15
B1633+24 102.099862392 34.0219256037 904.6602366860001 83.14919156108309 16 24
B1612+07 95.8267544862 22.665840949299998 830.760297297 81.43751970189497 16 7
B2323+63 145.33359767 51.4249645196 2037.31479167 78.87013432463364 23 63
B2227+61 142.018597515 38.2383536841 1984.76676923 78.08472852275673 22 61
J2206+6151 77.0968112946 14.160850110899998 613.4384615380001 76.24766356985442 22 61
J2036+2835 77.838947773 26.0097636446 629.245416667 76.00856812988032 20 28
B0339+53 115.106765543 27.4251583048 1380.71916031 75.87938459315403 3 53
B1845-01 90.83085318170001 20.8205579342 894.630294118 74.38531708692967 18 1
B1822-09 87.9303271524 20.3814923783 842.5424942530001 74.2024777129782 18 9
J0533+0402 47.6814345221 14.221495201500002 250.782708333 73.75239772341801 5 4
B2035+36 100.91141004100001 39.7535906186 1125.15338235 73.69025083053839 20 36
B2334+61 114.749410773 52.3608582871 1460.30589041 73.55364017106331 23 61
B0917+63 125.9225311 75.5781005082 1817.50984127 72.3503579738048 9 63
J0426+4933 60.3150156423 14.099759219700001 417.798070175 72.27995194805835 4 49
J1821+1715 85.9903793335 0.0 865.9910000000001 71.57622683859552 18 17
B1732-07 83.2873446134 17.078058543 814.6080000000001 71.47930247082239 17 7
J0546+2441 82.4117485334 38.283217956 799.1415068489999 71.40899316709566 5 24
B1942-00 46.0300559998 0.0 249.99 71.31088235679766 19 0
J1404+1159 68.0755748491 26.9368798062 569.764135135 69.85852125495792 14 11
J2027+4557 95.7272649901 19.9801627664 1129.02342857 69.78463302849637 20 45
B0450-18 82.9599360507 35.6750797046 866.261131429 69.04299458041775 4 18
J2044+4614 55.4336149693 15.568055593599999 388.02425 68.93176394251296 20 46
B0052+51 101.747121811 29.3108744457 1311.985 68.80711094829698 0 51
B0940+16 81.9798520687 41.8615872497 863.642864662 68.33066712796993 9 16
J2228+3041 86.3040649775 34.565383795900004 985.0404268289999 67.35655234234912 22 30
J2234+2114 46.542328547299995 12.4911158573 287.155710843 67.27675006761477 22 21
J2217+5733 105.943487439 30.244372917 1533.31148148 66.27270485427476 22 57
B0114+58 107.68241601 19.7323503977 1599.13114286 65.95965502978164 1 58
J0248+6021 63.5417019526 11.3163656619 567.559166667 65.332442837977 2 60
J2108+45 91.57444348950001 72.6295448236 1198.19010256 64.80179700124552 21 45
J1649+2533 77.2458827972 29.6278294691 865.791 64.3049540960325 16 25
B0410+69 124.67239372799999 57.9777280166 2415.11786164 62.14078830591429 4 69
B1911+13 71.8302612305 7.30405669416 847.472166667 60.43942851588747 19 13
J0540+3207 66.8828035164 20.6950500871 747.1078 59.93747715305326 5 32
B1907+03 68.5585110255 1.9436139831099999 785.153657143 59.93212451151346 19 3
B2036+53 50.8054917567 15.2605952599 459.76432432400003 58.03883015156948 20 53
J1713+0747 67.7183331372 34.0047691636 829.815595506 57.58257586075592 17 7
J0621+1002 53.7177666906 16.557600127 544.706104478 56.37836183978531 6 10
J0738+6904 110.298334863 68.5619446874 2336.72925926 55.89080733515925 7 69
B2241+69 91.23821177629999 23.320006644499998 1655.28818182 54.930756832812726 22 69
J0613+3731 40.1778346278 14.9072508404 330.86400000000003 54.104999097604114 6 37
J1246+2253 46.70782465479999 12.358195473699999 447.56739726 54.07992053594795 12 22
J1640+2224 65.7287817833 39.370020257600004 889.2778102560001 53.98989470594737 16 22
J0218+4232 75.2383886318 15.972340648 1167.90216301 53.927697692168614 2 42
J2139+00 63.894855991099995 28.2924546293 844.0672941180001 53.870745363652794 21 0
B0656+14 63.698077196899995 25.4834354686 851.0964020619999 53.48260724920302 6 14
J2045+3633 70.5631893681 14.361334313599999 1055.15358645 53.21033432096481 20 36
J0435+2749 35.837552940100004 12.3249905605 289.72705882400004 51.57264954470482 4 27
B1907-03 56.1827552795 7.76626234685 716.3718 51.4173178515232 19 3
B0144+59 81.9799972591 43.5149908881 1599.65186441 50.2077531175941 1 59
J0627+0706 46.546516500500005 14.977519541800001 520.132344262 49.992617840330006 6 7
J1838+1650 51.9071178436 9.86080360415 650.4875 49.85205468123587 18 16
B1718-02 58.1599142302 16.2354672635 819.6494534880001 49.760565332794755 17 2
B1846-06 53.349992752 14.571818393800001 691.2305 49.70482436755918 18 6
J2229+6114 67.49576246069999 13.129794334000001 1113.4288764 49.54740260786466 22 61
B1706-16 59.1688434191 38.9067889617 858.851666667 49.4549336976231 17 16
B1949+14 32.4527130127 0.0 258.98 49.39619781289379 19 14
B1913+10 58.2657511725 18.6695335877 838.7064411760001 49.28150768127171 19 10
J1313+0931 52.5025147832 30.462759160700003 694.485101215 48.80049918344737 13 9
J0645+5158 73.61544267229999 83.38317925439999 1384.10210135 48.468601531729526 6 51
B2045+56 44.7480138477 10.478737523300001 511.973157895 48.44241578861481 20 56
J1844+00 56.5947879791 3.4876872693300003 833.568 48.01550992388463 18 0
J2145-0750 56.6754852028 37.4279819792 857.5405949369999 47.407115128465975 21 7
J2033+0042 54.679255803400004 18.3349833861 854.32 45.823465812970774 20 0
B0559-05 53.4504467461 14.290072883599999 817.9682616819999 45.77820274683519 5 5
B0942-13 54.1364305803 38.6531785392 848.9230273969999 45.51254127597467 9 13
B0105+68 88.20479177899999 28.4417724146 2329.31977778 44.76651093754619 1 68
J1741+2758 54.1104265849 8.90464554776 884.3266666669999 44.570778757518795 17 27
J0407+1607 48.8412769564 15.500699298499999 726.601835821 44.382768578447376 4 16
J0212+5222 60.9978646514 23.4474649723 1134.64668201 44.356771993079505 2 52
J2307+2225 44.78528998189999 17.136471493 622.9990964909999 43.95085290618266 23 22
J2138+4911 44.7850717018 41.1664140986 644.848735632 43.19962458760623 21 49
B1951+32 30.9270439148 0.0 308.99 43.09648241950224 19 32
B2303+46 52.08656343649999 12.824887818699999 886.09192 42.86096467663942 23 46
J0636+5129 64.5364908106 38.3225698317 1378.1276129 42.58300002263989 6 51
B1900+05 49.92107612270001 13.0377485509 828.5008203130001 42.48279603878974 19 5
J1849+2423 48.867152213999994 10.680092405 801.49 42.280839512609155 18 24
B1322+83 141.966857394 113.842698431 7027.84695971 41.48121286535792 13 83
J1629+43 56.8761006976 45.8278948146 1137.42306796 41.308975451191856 16 43
J2019+2425 27.8673239667 7.195053881460001 279.787234043 40.8090931591399 20 24
B0045+33 52.2464802991 16.2935076142 986.59051087 40.74405005542228 0 33
J2208+5500 46.6836450441 11.345864264000001 807.735 40.23517852077386 22 55
J0030+0451 46.972463456599996 59.374856244200004 829.385347222 39.95220773950168 0 4
J0054+6946 79.3646276943 14.264430855399999 2413.90698413 39.567839997217845 0 69
J1627+1419 46.599935996899994 15.8805269516 848.749811828 39.1806015814395 16 14
